File       : etddt.dat
Updated    : 07/06/2022
Contents   : Table to interpolate DDT=TT-UTC. For epochs less 
			 than 1820, DDT is not defined within this table. 
Source     : ftp://hpiers.obspm.fr/iers/bul/bulc/Leap_Second.dat
Note       : File must have an empty line at the end!
Explanation: 
=============================================================
https://www.ucolick.org/~sla/leapsecs/timescales.html
=============================================================
                                                 ET 1960-1983
                                                TDT 1984-2000
 UTC 1972-  GPS 1980-    TAI 1958-               TT 2001-
----+---------+-------------+-------------------------+-----
    |         |             |                         |
    |<-- TAI-UTC (leaps) -->|<-----   TT-TAI    ----->|
    |         |             |      32.184s fixed      |
    |<GPS-UTC>|<- TAI-GPS ->|                         |
    |         |  19s fixed  |                         |
    |                                                 |
	|<----- DDT = TT-UTC = delta-T + delta-UT ------->|
    |                                                 |
    <->| delta-UT = UT1-UTC (max +/-0.9 sec)          |
-------+----------------------------------------------+-----
       |<------------ delta-T = TT-UT1 -------------->|
      UT1 (UT)                                    TT/TDT/ET
=============================================================

Year       Julian date   DDT (TT-UTC) [s]
C*************************************************************
1820.00000 2385800.50000   12.000
1821.00000 2386166.50000   11.700
1822.00000 2386531.50000   11.400
1823.00000 2386896.50000   11.100
1824.00000 2387261.50000   10.600
1825.00000 2387627.50000   10.200
1826.00000 2387992.50000    9.600
1827.00000 2388357.50000    9.100
1828.00000 2388722.50000    8.600
1829.00000 2389088.50000    8.000
1830.00000 2389453.50000    7.500
1831.00000 2389818.50000    7.000
1832.00000 2390183.50000    6.600
1833.00000 2390549.50000    6.300
1834.00000 2390914.50000    6.000
1835.00000 2391279.50000    5.800
1836.00000 2391644.50000    5.700
1837.00000 2392010.50000    5.600
1838.00000 2392375.50000    5.600
1839.00000 2392740.50000    5.600
1840.00000 2393105.50000    5.700
1841.00000 2393471.50000    5.800
1842.00000 2393836.50000    5.900
1843.00000 2394201.50000    6.100
1844.00000 2394566.50000    6.200
1845.00000 2394932.50000    6.300
1846.00000 2395297.50000    6.500
1847.00000 2395662.50000    6.600
1848.00000 2396027.50000    6.800
1849.00000 2396393.50000    6.900
1850.00000 2396758.50000    7.100
1851.00000 2397123.50000    7.200
1852.00000 2397488.50000    7.300
1853.00000 2397854.50000    7.400
1854.00000 2398219.50000    7.500
1855.00000 2398584.50000    7.600
1856.00000 2398949.50000    7.700
1857.00000 2399315.50000    7.700
1858.00000 2399680.50000    7.800
1859.00000 2400045.50000    7.800
1860.00000 2400410.50000    7.880
1861.00000 2400776.50000    7.820
1862.00000 2401141.50000    7.540
1863.00000 2401506.50000    6.970
1864.00000 2401871.50000    6.400
1865.00000 2402237.50000    6.020
1866.00000 2402602.50000    5.410
1867.00000 2402967.50000    4.100
1868.00000 2403332.50000    2.920
1869.00000 2403698.50000    1.820
1870.00000 2404063.50000    1.610
1871.00000 2404428.50000    0.100
1872.00000 2404793.50000   -1.020
1873.00000 2405159.50000   -1.280
1874.00000 2405524.50000   -2.690
1875.00000 2405889.50000   -3.240
1876.00000 2406254.50000   -3.640
1877.00000 2406620.50000   -4.540
1878.00000 2406985.50000   -4.710
1879.00000 2407350.50000   -5.110
1880.00000 2407715.50000   -5.400
1881.00000 2408081.50000   -5.420
1882.00000 2408446.50000   -5.200
1883.00000 2408811.50000   -5.460
1884.00000 2409176.50000   -5.460
1885.00000 2409542.50000   -5.790
1886.00000 2409907.50000   -5.630
1887.00000 2410272.50000   -5.640
1888.00000 2410637.50000   -5.800
1889.00000 2411003.50000   -5.660
1890.00000 2411368.50000   -5.870
1891.00000 2411733.50000   -6.010
1892.00000 2412098.50000   -6.190
1893.00000 2412464.50000   -6.640
1894.00000 2412829.50000   -6.440
1895.00000 2413194.50000   -6.470
1896.00000 2413559.50000   -6.090
1897.00000 2413925.50000   -5.760
1898.00000 2414290.50000   -4.660
1899.00000 2414655.50000   -3.740
1900.00000 2415020.50000   -2.720
1901.00000 2415385.50000   -1.540
1902.00000 2415750.50000   -0.020
1903.00000 2416115.50000    1.240
1904.00000 2416480.50000    2.640
1905.00000 2416846.50000    3.860
1906.00000 2417211.50000    5.370
1907.00000 2417576.50000    6.140
1908.00000 2417941.50000    7.750
1909.00000 2418307.50000    9.130
1910.00000 2418672.50000   10.460
1911.00000 2419037.50000   11.530
1912.00000 2419402.50000   13.360
1913.00000 2419768.50000   14.650
1914.00000 2420133.50000   16.010
1915.00000 2420498.50000   17.200
1916.00000 2420863.50000   18.240
1917.00000 2421229.50000   19.060
1918.00000 2421594.50000   20.250
1919.00000 2421959.50000   20.950
1920.00000 2422324.50000   21.160
1921.00000 2422690.50000   22.250
1922.00000 2423055.50000   22.410
1923.00000 2423420.50000   23.030
1924.00000 2423785.50000   23.490
1925.00000 2424151.50000   23.620
1926.00000 2424516.50000   23.860
1927.00000 2424881.50000   24.490
1928.00000 2425246.50000   24.340
1929.00000 2425612.50000   24.080
1930.00000 2425977.50000   24.020
1931.00000 2426342.50000   24.000
1932.00000 2426707.50000   23.870
1933.00000 2427073.50000   23.950
1934.00000 2427438.50000   23.860
1935.00000 2427803.50000   23.930
1936.00000 2428168.50000   23.730
1937.00000 2428534.50000   23.920
1938.00000 2428899.50000   23.960
1939.00000 2429264.50000   24.020
1940.00000 2429629.50000   24.330
1941.00000 2429995.50000   24.830
1942.00000 2430360.50000   25.300
1943.00000 2430725.50000   25.700
1944.00000 2431090.50000   26.240
1945.00000 2431456.50000   26.770
1946.00000 2431821.50000   27.280
1947.00000 2432186.50000   27.780
1948.00000 2432551.50000   28.250
1949.00000 2432917.50000   28.710
1950.00000 2433282.50000   29.150
1951.00000 2433647.50000   29.570
1952.00000 2434012.50000   29.970
1953.00000 2434378.50000   30.360
1954.00000 2434743.50000   30.720
1955.00000 2435108.50000   31.070
1956.00000 2435473.50000   31.350
1957.00000 2435839.50000   31.680
1958.00000 2436204.50000   32.180
1959.00000 2436569.50000   32.680
1960.00000 2436934.50000   33.150
1961.00000 2437300.50000   33.590
1962.00000 2437665.50000   34.032
1962.50000 2437846.50000   34.235
1963.00000 2438030.50000   34.441
1963.50000 2438211.50000   34.644
1964.00000 2438395.50000   34.950
1964.50000 2438577.50000   35.286
1965.00000 2438761.50000   35.725
1965.50000 2438942.50000   36.160
1966.00000 2439126.50000   36.498
1966.50000 2439307.50000   36.968
1967.00000 2439491.50000   37.444
1967.50000 2439672.50000   37.913
1968.00000 2439856.50000   38.390
1968.25000 2439947.50000   38.526
1968.50000 2440038.50000   38.760
1968.75000 2440130.50000   39.000
1969.00000 2440222.50000   39.238
1969.25000 2440312.50000   39.472
1969.50000 2440403.50000   39.707
1969.75000 2440495.50000   39.946
1970.00000 2440587.50000   40.185
1970.25000 2440677.50000   40.420
1970.50000 2440768.50000   40.654
1970.75000 2440860.50000   40.892
1971.00000 2440952.50000   41.131
1971.08500 2440983.50000   41.211
1971.16200 2441011.50000   41.284
1971.24700 2441042.50000   41.364
1971.32900 2441072.50000   41.442
1971.41400 2441103.50000   41.522
1971.49600 2441133.50000   41.600
1971.58100 2441164.50000   41.680
1971.66600 2441195.50000   41.761
